"variable","variable_type","data_type","unit_of_measure","nullable","description"
"e_chq_acc_status","categorical","string","deutsche mark","FALSE","Existing Checking Account Status "
"duration_months","numerical","integer","months","FALSE","Duration in months"
"credit_history","categorical","string","$\mathcal{1}$","FALSE","Credit History"
"purpose","categorical","string","$\mathcal{1}$","FALSE","Purpose"
"credit_amount","numerical","float","deutsche mark","FALSE","Credit amount"
"savings_acc_class","categorical","string","deutsche mark","FALSE","Savings Account/Bonds "
"curr_emp_class","categorical","string","years","FALSE","Present Employment Since "
"i_rate_by_disp_inc","numerical","float","percentage","FALSE","Installment rate in percentage of disposable income"
"sex_and_status","categorical","string","$\mathcal{1}$","FALSE","Personal Status & Sex "
"other_debtors_class","categorical","string","$\mathcal{1}$","FALSE","Other Debtors/Guarantors "
"curr_res_since","numerical","integer","years","FALSE","Present residence since"
"property","categorical","string","$\mathcal{1}$","FALSE","Property"
"age_years","numerical","integer","years","FALSE","Age in years"
"other_i_plans","categorical","string","$\mathcal{1}$","FALSE","Other Installment Plans "
"housing","categorical","string","$\mathcal{1}$","FALSE","Housing"
"n_e_credits_this_bank","numerical","integer","$\mathcal{1}$","FALSE","Number of existing credits at this bank"
"job","categorical","string","$\mathcal{1}$","FALSE","Job"
"n_dependants","numerical","integer","$\mathcal{1}$","FALSE","Number of people being liable to provide maintenance for"
"telephone","categorical","integer","$\mathcal{1}$","FALSE","Telephone"
"foreign_worker","categorical","integer","$\mathcal{1}$","FALSE","Foreign worker"
"female","categorical","integer","$\mathcal{1}$","FALSE","Sex"
"acceptable","categorical","integer","$\mathcal{1}$","FALSE","Class"
